uid,pid,cid,review,mood,avg_price
1,2,1,4,1,25
1,3,2,2,2,50
1,4,2,2,2,10
1,6,3,2,3,50
1,7,3,2,1,10
1,8,4,1,1,25
1,9,1,5,2,50
1,10,4,1,3,10
2,1,1,5,1,10
2,3,2,3,2,50
2,4,2,2,2,10
2,5,2,1,3,25
2,6,3,1,3,50
2,7,3,4,1,10
2,8,4,3,1,25
2,9,1,5,2,50
3,2,1,1,1,25
3,3,2,3,2,50
3,4,2,3,2,10
3,5,2,3,3,25
3,6,3,2,3,50
3,7,3,3,1,10
3,8,4,5,1,25
3,9,1,1,2,50
4,1,1,2,1,10
4,2,1,2,1,25
4,3,2,5,2,50
4,4,2,5,2,10
4,7,3,4,1,10
4,8,4,1,1,25
4,9,1,1,2,50
4,10,4,1,3,10
5,1,1,1,1,10
5,2,1,1,1,25
5,4,2,3,2,10
5,5,2,4,3,25
5,6,3,5,3,50
5,8,4,2,1,25
5,9,1,4,2,50
5,10,4,1,3,10
